query_id,theme,query_text,query_language,rank,doc_id,doc_source,doc_language,doc_text,similarity,is_relevant,annotator,notes
app_usability,App usability,Die App ist schwer zu benutzen,de,1,r4,review,de,Die App ist verwirrend und der Checkout funktioniert nicht,0.61604905128479,,,
app_usability,App usability,Die App ist schwer zu benutzen,de,2,s3,support_conversation,fr,Le service client etait poli mais inefficace,0.4180353283882141,,,
app_usability,App usability,Die App ist schwer zu benutzen,de,3,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.3984231948852539,,,
app_usability,App usability,Die App ist schwer zu benutzen,de,4,s6,support_conversation,en,"Issue fixed quickly, thanks for the help",0.23980708420276642,,,
app_usability,App usability,Die App ist schwer zu benutzen,de,5,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.21121785044670105,,,
billing_error,Billing issues,Mi hanno addebitato due volte,it,1,r5,review,it,Ho ricevuto un doppio addebito sulla carta,0.6497262716293335,,,
billing_error,Billing issues,Mi hanno addebitato due volte,it,2,s1,support_conversation,en,Agent could not resolve my refund issue after multiple chats,0.29532915353775024,,,
billing_error,Billing issues,Mi hanno addebitato due volte,it,3,r3,review,fr,Le remboursement a pris trop de temps,0.21657578647136688,,,
billing_error,Billing issues,Mi hanno addebitato due volte,it,4,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.16061212122440338,,,
billing_error,Billing issues,Mi hanno addebitato due volte,it,5,s3,support_conversation,fr,Le service client etait poli mais inefficace,0.10795017331838608,,,
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,1,r1,review,en,Delivery was late by a week and no clear tracking updates,0.7753238081932068,,,
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,2,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.6419224739074707,,,
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,3,r2,review,es,El pedido llego tarde y nadie respondio en soporte,0.6358082294464111,,,
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,4,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.5669773817062378,,,
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,5,r6,review,en,Excellent packaging and fast shipping,0.4585893452167511,,,
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,1,r3,review,fr,Le remboursement a pris trop de temps,0.6444416642189026,,,
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,2,s5,support_conversation,it,L assistenza non risponde e il rimborso non arriva,0.5491882562637329,,,
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,3,r5,review,it,Ho ricevuto un doppio addebito sulla carta,0.5041970014572144,,,
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,4,r2,review,es,El pedido llego tarde y nadie respondio en soporte,0.48972827196121216,,,
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,5,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.4846745729446411,,,
support_quality,Support quality,Le service client etait lent et peu utile,fr,1,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.9152415990829468,,,
support_quality,Support quality,Le service client etait lent et peu utile,fr,2,s3,support_conversation,fr,Le service client etait poli mais inefficace,0.8304766416549683,,,
support_quality,Support quality,Le service client etait lent et peu utile,fr,3,s5,support_conversation,it,L assistenza non risponde e il rimborso non arriva,0.5105926990509033,,,
support_quality,Support quality,Le service client etait lent et peu utile,fr,4,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.4323144853115082,,,
support_quality,Support quality,Le service client etait lent et peu utile,fr,5,r2,review,es,El pedido llego tarde y nadie respondio en soporte,0.4247514009475708,,,
