query_id,theme,query_text,query_language,rank,doc_id,doc_source,doc_language,doc_text,similarity,is_relevant,annotator,notes
app_usability,App usability,Die App ist schwer zu benutzen,de,1,r4,review,de,Die App ist verwirrend und der Checkout funktioniert nicht,0.61604905128479,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
app_usability,App usability,Die App ist schwer zu benutzen,de,2,s3,support_conversation,fr,Le service client etait poli mais inefficace,0.4180353283882141,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
app_usability,App usability,Die App ist schwer zu benutzen,de,3,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.3984231948852539,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
app_usability,App usability,Die App ist schwer zu benutzen,de,4,s6,support_conversation,en,"Issue fixed quickly, thanks for the help",0.2398070842027664,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
app_usability,App usability,Die App ist schwer zu benutzen,de,5,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.211217850446701,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
billing_error,Billing issues,Mi hanno addebitato due volte,it,1,r5,review,it,Ho ricevuto un doppio addebito sulla carta,0.6497262716293335,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
billing_error,Billing issues,Mi hanno addebitato due volte,it,2,s1,support_conversation,en,Agent could not resolve my refund issue after multiple chats,0.2953291535377502,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
billing_error,Billing issues,Mi hanno addebitato due volte,it,3,r3,review,fr,Le remboursement a pris trop de temps,0.2165757864713668,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
billing_error,Billing issues,Mi hanno addebitato due volte,it,4,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.1606121212244033,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
billing_error,Billing issues,Mi hanno addebitato due volte,it,5,s3,support_conversation,fr,Le service client etait poli mais inefficace,0.107950173318386,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,1,r1,review,en,Delivery was late by a week and no clear tracking updates,0.7753238081932068,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,2,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.6419224739074707,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,3,r2,review,es,El pedido llego tarde y nadie respondio en soporte,0.6358082294464111,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,4,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.5669773817062378,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
delivery_delay,Delivery delays,My order arrived late and delivery tracking was poor,en,5,r6,review,en,Excellent packaging and fast shipping,0.4585893452167511,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,1,r3,review,fr,Le remboursement a pris trop de temps,0.6444416642189026,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,2,s5,support_conversation,it,L assistenza non risponde e il rimborso non arriva,0.5491882562637329,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,3,r5,review,it,Ho ricevuto un doppio addebito sulla carta,0.5041970014572144,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,4,r2,review,es,El pedido llego tarde y nadie respondio en soporte,0.4897282719612121,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
refund_friction,Refund friction,No pude obtener mi reembolso rapidamente,es,5,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.4846745729446411,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
support_quality,Support quality,Le service client etait lent et peu utile,fr,1,s2,support_conversation,es,El servicio al cliente no ayudo y fue muy lento,0.9152415990829468,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
support_quality,Support quality,Le service client etait lent et peu utile,fr,2,s3,support_conversation,fr,Le service client etait poli mais inefficace,0.8304766416549683,1,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
support_quality,Support quality,Le service client etait lent et peu utile,fr,3,s5,support_conversation,it,L assistenza non risponde e il rimborso non arriva,0.5105926990509033,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
support_quality,Support quality,Le service client etait lent et peu utile,fr,4,s4,support_conversation,de,Lieferung verspatet und Tracking war ungenau,0.4323144853115082,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
support_quality,Support quality,Le service client etait lent et peu utile,fr,5,r2,review,es,El pedido llego tarde y nadie respondio en soporte,0.4247514009475708,0,auto-baseline-theme-match,Auto-filled baseline; review manually before final reporting.
